商标名称,法律状态,申请号,商品类别,申请日期,申请人名称,申请人地址,申请人名称（英文）,申请人地址（英文）,商标图片,图片要素,商品/服务项目,初审公告期号,初审公告日期,注册公告期号,注册公告日期,专用权期限,是否共有商标,后期指定日期,国际注册日期,优先权日期,代理人名称,商标状态,商标公告,评审文书
阿里,商标无效,55590371,21类 厨房洁具,2021.04.26,狮王日用化工(青岛)有限公司,山东省青岛经济技术开发区渭河路919号,,,点击查看大图,无,"2106 牙刷架
2108 假牙清洁用盒
2108 清洁牙齿用牙间毛刷
2108 牙刷
2108 牙刷盒
2108 牙及牙床清洁用吸水器
2108 电动牙刷
2108 舌头清洁刷
2108 舌苔刷
2109 牙签
2109 牙线
2110 化妆用具",,,,,至,否,,,,上海华诚知识产权代理有限公司,"商标局官网查询
2021.10.03 商标注册申请 | 等待驳回复审
2021.08.05 商标注册申请 | 驳回通知发文
2021.06.18 商标注册申请 | 受理通知书发文
2021.04.26 商标注册申请 | 申请收文",,
阿里,商标无效,31041421,19类 建筑材料,2018.05.21,安徽尊柜家具有限公司,安徽省合肥市新站区九顶山路安徽国仓管桩集团有限公司厂房,,,点击查看大图,无,"1909 彩绘玻璃窗
1909 玻璃钢制门、窗
1909 非金属建筑材料
1909 非金属折门
1909 非金属推拉门
1909 非金属百叶窗
1909 非金属窗框
1909 非金属门
1909 非金属门框
1909 非金属防火门",,,,,至,否,,,,广东本色商标专利事务所有限公司,"商标局官网查询
2019.03.27 商标注册申请 | 等待驳回复审
2019.01.29 商标注册申请 | 驳回通知发文
2018.06.16 商标注册申请 | 受理通知书发文
2018.05.21 商标注册申请 | 申请收文",,
阿里里,已注册,3867644,25类 服装鞋帽,2003.12.30,李文忠,山东潍坊发电厂集体宿舍,,,点击查看大图,"3.7.13.麻雀或其它雀目鸟
3.7.20.鸟巢,鸟笼 注:包括有蛋鸟巢,单独的蛋列8.7.11","2501 内衣
2501 服装
2501 童装
2501 羽绒服
2503 游泳衣
2504 防水服
2505 戏装
2507 鞋(脚上的穿着物)
2508 帽子(头戴)
2509 袜",1043,2006.10.14,1055,2007.01.14,2017.01.14至2027.01.13,否,,,,潍坊市诚信商标事务所,"商标局官网查询
2017.12.11 商标续展 | 核准通知打印发送
2017.07.20 商标续展 | 等待打印受理通知书
2017.06.07 商标续展 | 申请收文
2007.02.05 商标注册申请 | 打印注册证
2007.01.14 商标注册申请 | 注册公告
2006.10.14 商标注册申请 | 初审公告
2004.02.13 商标注册申请 | 打印受理通知
2003.12.30 商标注册申请 | 申请收文","2017.12.06 第1578期《注册商标续展公告》第142379页。

2007.01.14 第1055期《商标注册公告》第1184页。

2006.10.14 第1043期《商标初步审定公告》第671页。",
阿里,商标无效,20699131,32类 啤酒饮料,2016.07.19,李文娟,广西壮族自治区桂林市七星区栖霞路99号2单元201室,,,点击查看大图,无,"3202 无酒精果汁
3202 无酒精饮料
3202 果汁
3202 格瓦斯(无酒精饮料)
3202 水(饮料)
3202 矿泉水(饮料)
3202 纯净水(饮料)
3202 苏打水
3202 餐用矿泉水
3202 饮用蒸馏水",,,,,至,否,,,,广西南宁市四一三商标事务所有限责任公司,"商标局官网查询
2017.06.20 商标注册申请 | 等待驳回复审
2017.04.26 商标注册申请 | 驳回通知发文
2016.11.04 商标注册申请 | 受理通知书发文
2016.07.19 商标注册申请 | 申请收文",,
阿里,异议不予受理,18493524,31类 饲料种籽,2015.12.02,阿里巴巴集团控股有限公司,开曼群岛大开曼岛资本大厦一座四层847号邮箱,ALIBABA GROUP HOLDING LIMITED,"FOURTH FLOOR,ONE CAPITAL PLACE, P.O. BOX847,GEORGE TOWN,GRAND CAYMAN,CAYMAN ISLANDS",点击查看大图,无,"3102 玉米
3103 植物
3104 活动物
3104 活家禽
3104 活鱼
3104 虾(活的)
3104 龙虾(活的)
3105 新鲜水果
3106 新鲜蔬菜
3108 宠物食品",1612,2018.08.20,,,至,否,,,,杭州海浩商标事务所有限公司,"商标局官网查询
2019.05.27 商标异议申请 | 不予受理通知书发文
2019.02.21 商标异议申请 | 补正通知发文
2018.10.15 商标异议申请 | 申请收文
2018.08.20 商标注册申请 | 初审公告
2018.04.03 驳回复审 | 实审裁文发文
2017.04.11 驳回复审 | 评审分案
2016.11.21 驳回复审 | 申请收文
2016.11.09 商标注册申请 | 驳回通知发文
2016.04.16 商标注册申请 | 受理通知书发文
2015.12.02 商标注册申请 | 申请收文","2021.06.20 第1748期《送达公告》第167625页。

2020.08.27 第1709期《送达公告》第268008页。

2018.08.20 第1612期《商标初步审定公告》第264页。","2021/05/13 关于第18493524号“阿里”商标不予注册复审决定书
2021/03/23 关于第18493524号“阿里”商标不予注册复审决定书
2020/01/13 第18493524号“阿里”商标不予注册的决定
2018/03/14 关于第18493524号“阿里”商标驳回复审决定书
2017/12/26 关于第18493524号“阿里”商标驳回复审决定书"
阿里,商标无效,45279620,35类 广告销售,2020.04.09,阿里巴巴集团控股有限公司,开曼群岛大开曼岛资本大厦一座四层847号邮箱,ALIBABA GROUP HOLDING LIMITED,"FOURTH FLOOR, ONE CAPITAL PLACE, P.O. BOX 847, GEORGE TOWN, GRAND CAYMAN, CAYMAN ISLANDS",点击查看大图,无,"3501 为零售目的在通信媒体上展示商品
3501 广告
3502 为消费者提供商品和服务选择方面的商业信息和建议
3502 商业中介服务
3502 商业管理辅助
3502 通过网站提供商业信息
3503 为商品和服务的买卖双方提供在线市场
3503 市场营销
3503 替他人推销
3504 职业介绍
3506 为推销优化搜索引擎
3506 在计算机数据库中更新和维护数据
3506 网站流量优化
3506 计算机数据库信息系统化
3507 会计
3508 寻找赞助
3509 药用、兽医用、卫生用制剂和医疗用品的零售服务",,,,,至,否,,,,北京超凡知识产权代理有限公司,"商标局官网查询
2022.01.26 评审应诉 | 申请收文
2021.05.06 驳回复审 | 实审裁文发文
2021.02.25 驳回复审 | 评审分案
2020.11.10 驳回复审 | 申请收文
2020.10.15 商标注册申请 | 驳回通知发文
2020.05.19 商标注册申请 | 受理通知书发文
2020.04.09 商标注册申请 | 申请收文",,2021/04/22 关于第45279620号“阿里”商标驳回复审决定书
阿里,商标无效,36508599,39类 运输贮藏,2019.02.26,西藏天赐建设工程有限公司,西藏自治区拉萨市城西区金珠路格桑林卡B型B12.3号,,,点击查看大图,无,"3901 商品包装
3901 商品打包
3901 物流运输
3901 货物发运
3905 停车场服务
3905 汽车出租
3906 货物贮存
3906 集装箱出租
3908 能源分配
3911 旅行预订",,,,,至,否,,,,西安吉嘉知识产权服务有限公司,"商标局官网查询
2020.01.30 商标注册申请 | 等待驳回复审
2019.12.05 商标注册申请 | 驳回通知发文
2019.03.14 商标注册申请 | 受理通知书发文
2019.02.26 商标注册申请 | 申请收文",,
阿里,商标无效,17589098,01类 化学原料,2015.08.04,宜昌久盛钾盐化工科技有限公司,湖北省宜昌市宜都市枝城镇丹阳大道,,,点击查看大图,无,"0105 除杀真菌剂、除草剂、杀虫剂、杀寄生虫剂外的农业化学品
0109 农业用肥
0109 化学肥料
0109 植物生长调节剂
0109 植物肥料
0109 氮肥
0109 混合肥料
0109 肥料
0109 肥料制剂
0109 过磷酸盐(肥料)",,,,,至,否,,,,北京古涵知识产权代理有限公司,"商标局官网查询
2016.07.19 商标注册申请 | 等待驳回复审
2016.05.25 商标注册申请 | 驳回通知发文
2015.11.12 商标注册申请 | 受理通知书发文
2015.08.04 商标注册申请 | 申请收文
.. 商标无效",,
阿里,商标无效,9914619,09类 科学仪器,2011.08.31,扬智电子科技(中国)有限公司,广东省深圳市南山区高新南七道015号深港产学研基地西座九层北翼,,,点击查看大图,无,"0902 商品电子标签
0913 电子芯片
0913 石英晶体
0913 荧光屏
0913 遥控仪器
0913 集成电路
0913 集成电路块",,,,,至,否,,,,深圳市精英商标事务所,"商标局官网查询
2012.07.13 驳回复审 | 打印受理通知
2012.06.26 驳回复审 | 申请收文
2012.05.24 商标注册申请 | 打印驳回通知
2011.09.08 商标注册申请 | 打印受理通知
2011.08.31 商标注册申请 | 申请收文
.. 商标无效",,
阿里,商标无效,36508599,16类 办公用品,2019.02.26,西藏天赐建设工程有限公司,西藏自治区拉萨市城西区金珠路格桑林卡B型B12.3号,,,点击查看大图,无,"1604 纸或纸板制广告牌
1605 传单
1605 名片
1606 新闻刊物
1606 杂志(期刊)
1606 海报
1606 说明书
1607 宣传画
1613 印章(印)
1620 建筑模型",,,,,至,否,,,,西安吉嘉知识产权服务有限公司,"商标局官网查询
2020.01.30 商标注册申请 | 等待驳回复审
2019.12.05 商标注册申请 | 驳回通知发文
2019.03.14 商标注册申请 | 受理通知书发文
2019.02.26 商标注册申请 | 申请收文",,
